Rang,Interpret,Sprache,Titel,Jahr,text
86,Bläck Fööss,Kölsch,Polterovend,1983,"Refrain: Hück es Polterovend en d’r Elsaßstroß
denn d’r Pitter hierot morje et Marie.
Dat Marie hätt’ ich su jän för mich jehat,
ich han et och probeet, doch mich, mich wollt’ et nie.

Wie et em Levve off esu jeit, mer lurt, wat en d’r Zeidung steit.
Hück stund en Annonce do dren, ich dach, mich tritt e Päd vür’t Kenn.
Dä Pitter Hippenstiel us Goch hierot et Marie dis woch.
Dat kann doch ja nit möglich sin, dä Typ, dä muß ich sin.

Wat hät dä dann, wat ich nit han. Wie schön mag dä wohl sin?
Do denk ich mir jet Feines us, ich jläuv, do jon ich hin.

Refrain: Hück es Polterovend ...

Ach, Marie, ach, Marie, mir deit et Hätz su wih.
Wie jän hätt’ ich met dir dis Naach de Stroß jefäch
doch met mir, doch met mir, do wollt’ste nie.
Doch met mir, doch met mir, do wollt’ste nie.

Ich han ‘ne LKW bestellt vun mingem allerletzte Jeld,
dä hät en janze Ladung Schutt dann denne vür de Dür jeschott.
En jode Mischung Sauerei, jenaujenomme fünferlei:
Hausmüll, Altöl, Schrott un Kies, jot jemengk met Buuremeß.
D’r Pitter hät dä Dreck jefäch, un ich han et Marie
drei Stunde en de Kneip’ entführt un Spaß jehat wie nie.

Refrain: Hück es Polterovend ...


Ach, Marie, ach, Marie ..."
87,Willy Schneider,Hochdeutsch,Wenn das Wasser im Rhein goldner Wein wär,1950,"Wie oft schon hab' ich am Rheine gedacht:
Kinder wie wäre das schön,
wenn überraschend so ganz über Nacht,
zu mir ein Zauberer käm.
Er hielt seinen Zauberstab dann über mich,
mit Hokus und Pokus und so,
und eins, zwei, drei wär ich ein munterer Fisch
und schwämme im Rhein irgendwo.

Wenn das Wasser im Rhein gold'ner Wein wär,
ja dann möcht' ich so gern ein Fischlein sein.
Ei, wie könnte ich dann saufen,
brauchte keinen Wein zu kaufen,
WERBUNG



BY VIDEO REACH

denn das Fass vom Vater Rhein würd' niemals leer

Wäre ich aber den Rheinwein mal leid,
schwämme zur Mosel ich hin
und bliebe dort dann für Iängere Zeit,
Weil ich ein Weinkenner bin.
Doch wolIt ich so gerne woanders noch sein,
so macht ich 'ne Spritztour zur Ahr
und finde mich schließlich am Rhein wieder ein,
Weil das ja der Ausgangspunkt war.

Wenn das Wasser im Rhein gold'ner Wein wär,
ja dann möcht' ich so gern ein Fischlein sein.
Ei, wie könnte ich dann saufen,
brauchte keinen Wein zu kaufen,
denn das Fass vom Vater Rhein würd? niemals leer"
88,Klüngelköpp,Kölsch,Wä einmol Kölle sing Heimat nennt,2012,"Wann bes do zoletz ens durch Kölle spaziert
Un häs vun dinger Stadt jet jesinn
Met offene Auge de Ring eraff
Bes noh Worringe hin
Wat es dat för'e seltsam Jeföhl en mir
Wenn ich övver de Düxer-Bröck jonn
En Schuer läuf mir de Rögge e'raff
Wenn ich om Roncalli-Platz stonn
Weiß do velleich wat ich meine
Weiß do wat en mir vür sich jeiht
Wä einmol Kölle sing Heimat nennt
Dä weiß wat em su joot jefällt
Wä die Hüßjer un Jasse die Veedel kennt
Dä weiß wovun hä verzällt
Wä einmol Kölle sing Heimat nennt
Däm veel en Trennung su schwer
De Ostermanns Well dä hät rääch jehatt
Mer kömen ze fooss, ze foos widder her
Doch dat allein määt Kölle nit us
Do es noch die Mentalität
Dä Fruhsenn Humor un e'Kölsch met Schoss
Dat es uns Spezialität
Et Trude de Willi un Bläcke Fööss
Sin Zeuje esch Kölscher Art
Die Loß am Klüngel un am Fasteleer
Met strunze wet och nit jespart
Weiß do velleich wat ich meine
Weiß do wat en mir vür sich jeiht
Wä einmol Kölle sing Heimat nennt
Dä weiß wat em su joot jefällt
Wä die Hüßjer un Jasse die Veedel kennt
Dä weiß wovun hä verzällt
Wä einmol Kölle sing Heimat nennt
Däm veel en Trennung su schwer
De Ostermanns Well dä hät rääch jehatt
Mer kömen ze fooss, ze foos widder her
Et jitt he un do och manch düstere Eck
Wo sich Nut un Armut versteck
Och dat jitt'et he en uns'er Stadt
Doch keiner well jemols he wegg
Weiß de velleich wat ich meine
Weiß do wat en mir vür sich jeiht
Wä einmol Kölle sing Heimat nennt
Dä weiß wat em su joot jefällt
Wä die Hüßjer un Jasse die Veedel kennt
Dä weiß wovun hä verzällt
Wä einmol Kölle sing Heimat nennt
Däm veel en Trennung su schwer
De Ostermanns Well dä hät rääch jehatt
Mer kömen ze fooss, ze foos widder her"
89,Die Kolibris,Hochdeutsch,Die Hände zum Himmel,2002,"Wenn du heut nicht in der Stimmung bist
Lass doch alles so sein wie es ist
Wir wollen trinken, noch einen trinken
Weil man die Sorgen dann vergisst
Fühlst du dich manchmal auch so allein
Glaub mir, dass braucht gar nicht so sein
Denn heute abend gehen wir feiern
Die ganze Welt ist ein Verein

Und dann die Hände zum Himmel

komm lasst uns fröhlich sein
wir klatschen zusammen
und keiner ist allein.
Und dann die Hände zum Himmel

komm lasst uns fröhlich sein
wir klatschen zusammen
und keiner ist allein.
wir tun nur noch das, was uns gefällt



tanzen, singen im Saal oder Zelt
nicht alleine
denn das will keiner
uns gehört die ganze Welt
und an morgen wird heut nicht gedacht
wir feiern weiter die ganze Nacht
lasst uns heben, einmal schweben
und dabei wird nur gelacht.
Und dann die Hände zum Himmel

komm lasst uns fröhlich sein
wir klatschen zusammen
und keiner ist allein.
Und dann die Hände zum Himmel

komm lasst uns fröhlich sein
wir klatschen zusammen
und keiner ist allein.
Und dann die Hände zum Himmel

komm lasst uns fröhlich sein
wir klatschen zusammen
und keiner ist allein.
Und dann die Hände zum Himmel

komm lasst uns fröhlich sein
wir klatschen zusammen
und keiner ist allein.
Und dann die Hände zum Himmel
komm lasst uns fröhlich sein
wir klatschen zusammen
und keiner ist allein.
wir klatschen zusammen
und keiner ist allein."
90,Bläck Fööss,Kölsch,Dat Wasser vun Kölle,1983,"Oh, leever Jott, jev uns Wasser



Denn janz Kölle hät Doosch
Oh, leever Jott, jev uns Wasser
Un helf uns en d'r Nut
Ming Blome lossen alles hänge, wä hilf en d'r Nut?
D'r Wellensittich es wie jeck am schänge, dä Jung hät secher Woot
Uns Joldfesch han de Auge deck un sagen keine Ton
De Wäschmaschin spillt total verröck, woröm hät d'r Minsch Calgon?
Ming Filme entwickel ich ovends en Rhing
Dat jeit janz jot, denn do es alles dren
Och wemmer av un zo d'r Dönnscheß han, mer gläuve wigger dran
Dat Wasser vun Kölle es jot...
Oh, leever Jott, jev uns Wasser
Denn janz Kölle hät Doosch
Oh, leever Jott, jev uns Wasser
Un helf uns en d'r Nut
Nierestein sin schwer am kumme, oh Herr, wat deit dat wih
Och d'r Hoorusfall hät zojenomme, do hilf kei Böschte mih
Alle Wasserrühre sin total verstopp, die dröppen vür sich hin
Om Kaffee schwemmp 'ne fiese Ölfilm drop, wie kütt dat Öl do ren?
Uns Feuerwehr, die es bestemmp nit schläch,
Doch wenn se lösch, Jung, dann brennt et eets räch
Oh, Herr, dun e Wunder, üvverläch et dir
Söns stommer morje vür dinger Dür
Dat Wasser vun Kölle es jot...
Oh, leever Jott, jev uns Wasser
Denn janz Kölle hät Doosch
Oh, leever Jott, jev uns Wasser
Un helf uns en d'r Nut
Dat Wasser vun Kölle es jot..."
91,Micky Brühl Band,Kölsch,Zo Fooss noh Kölle jonn,2013,"Ich mööch zo Foos no Kölle jonn
Op d'r Düxerbröck bliev ich stonn
Ming Aure luure üvver d'r Ring
Ich muss ming Stadt, mieh Kölle sinn.

Ich ben he opjewasse
he in der Stadt am Rhing
Un he will ich och blieve
Un Levve bes zum Eng
He weed mer opjenumme
jebütz un flöck jedröck
Dat jewwe mir hück
mit nem Leed zoröck

Ich mööch zo Foos no Kölle jonn
Op d'r Düxerbröck bliev ich stonn
Ming Aure luure üvver d'r Ring
Ich muss ming Stadt, mieh Kölle sinn.



Bunt die Stadt un Minsche,
ejal woher do küss
Ob du Rich bes oder leider
nix im Büggel häss
Leeve un Leeve losse
Dat is he Jrundjesetz
Kumm sing mit uns
wenn du wenn du jenauso föhls

Ich mööch zo Foos no Kölle jonn
Op d'r Düxerbröck bliev ich stonn
Ming Aure luure üvver d'r Ring
Ich muss ming Stadt, mieh Kölle sinn.

Ich mööch zo Foos no Kölle jonn
Op d'r Düxerbröck bliev ich stonn
Ming Aure luure üvver d'r Ring
Ich muss ming Stadt, mieh Kölle sinn.

Ich mööch zo Foos no Kölle jonn
Op d'r Düxerbröck bliev ich stonn
Ming Aure luure üvver d'r Ring
Ich muss ming Stadt, mieh Kölle sinn.

Ich muss ming stadt, mieh Kölle siehn. Denn ich bin stolz darauf ne Kölsche Jeck zu sin."
92,Karl Berbuer,Hochdeutsch,Die Eingeborenen von Trizonesien,1948,"Mein lieber Freund, mein lieber Freund,
die alten Zeiten sind vorbei,
ob man da lacht, ob man da weint,
die Welt geht weiter, eins, zwei, drei.

Ein kleines Häuflein Diplomaten
macht heut die große Politik,
sie schaffen Zonen, ändern Staaten.
Und was ist hier mit uns im Augenblick?

Wir sind die Eingeborenen von Trizonesien,
Hei-di-tschimmela-tschimmela-tschimmela-tschimmela-bumm!
Wir haben Mägdelein mit feurig wildem Wesien,
Hei-di-tschimmela-tschimmela-tschimmela-tschimmela-bumm!
Wir sind zwar keine Menschenfresser,
doch wir küssen um so besser.
Wir sind die Eingeborenen von Trizonesien,
Hei-di-tschimmela-tschimmela-tschimmela-tschimmela-bumm!

Doch fremder Mann, damit du's weißt,
ein Trizonesier hat Humor,
er hat Kultur, er hat auch Geist,
darin macht keiner ihm was vor.

Selbst Goethe stammt aus Trizonesien,
Beethovens Wiege ist bekannt.
Nein, sowas gibt's nicht in Chinesien,
darum sind wir auch stolz auf unser Land.

Wir sind die Eingeborenen von Trizonesien [...]"
93,Brings feat. Carolin Kebekus,Hochdeutsch,Funkemarieche,2013,"Ich will nach hus, halt dat nimmi us
Bin bereit für's Bett, doch ich bin viel zu nett -
Denn die Pflicht die ruft - ich zieh sie wieder an die Kluft
Das Kostümche zwickt, der Tüll der pickt
Der Rock is zu kurz und die Perücke die juckt
Heute wird mir wieder auf den Arsch geguckt
Mit Spitzebützche an
Ich wär sogern mal Prinz im Karneval
Doch ich bin nur ein Funke-Funkemariechen
Vom Beine-Schmeißen krieg ich Gliederreißen
Ich bin nur ein Funke-Funkemariechen
Ich kann nichts andres sein
Bin als Model für den Laufsteg viel zu klein
Beim Stippeföttche darf ich nie dabei sein
Ich bin nur ein Funke-Funkemariechen

Die Füße tun weh, ich kann nicht mehr stehn
Noch schnell ins Maritim – dat wird die 20. Sitzung für heute nacht
Dat jeht noch so bis morjens um 8
Ich sitz auf der Hand von nem Funkenmann
Dat is nicht bequem, das is sehr unangenehm
Doch wat willste machen? Gardetanz is Ehrensache
Drum mach ich wieder mit
Sie schmeißen mich ganz hoch und runter geht's dann von alleine
Funke-Funkemariechen
Ich hab Höhenangst und dass is ganz schön scheiße für ein
Funke-Funkemariechen
Ich kann nichts andres sein
Bin als Model für den Laufsteg viel zu klein
Beim Stippeföttche darf ich nie dabei sein
Ich bin nur ein Funke-Funkemariechen


Die Mama sagt, dass du das niemals wirst – ne Frau mit Zöpfen
Nimmt heute keiner ernst. Ne dicke Funke tritt mir auf den Fuß-
Dass gibt bestimmt wieder en Bluterguss
Funke-Funke-Funkemariechen
Funke-Funke-Funkemariechen
Funke-Funke-Funkemariechen
Funke-Funke-Funkemariechen
Funke-Funke-Funkemariechen
Funke-Funke-Funkemariechen
Funke-Funke-Funkemariechen
Funke-Funke-Funkemariechen
Ich kann nicht mehr winken, der Tanzmajor is schon am stinken
Funke-Funkemariechen
Zur nächsten Sitzung muss ich auch hin und die is in Horrem
Funke-Funkemariechen
Ich kann nichts andres sein
Bin als Model für den Laufsteg viel zu klein
Beim Stippeföttche darf ich nie dabei sein
Ich bin nur ein Funke-Funkemariechen
Funke-Funkemariechen
Funke-Funkemariechen"
94,Räuber,Kölsch,Schau mir in die Augen,1993,"D'r Kejelclub ""Mer halde drop"" wor widder an d'r Ahr, die Junge wore all jed drop, die Stimmung wunderbar.
U n irjendwann um halver zehn, do wor et dann vorbej met der Moral, en dem Lokal wor nur noch Knutscherej, de Musik spellde Damenwahl, un alles sung dobej: Schau mir in die Augen, ganz, ganz tief hinein, und dann sag mir, kann denn Liebe Sünde sein.
Schau mir in die Augen, was ist schon dabei, alles, was gescheh'n wird, kann nur Schicksal sein. Dat Annemie us Metternich wor jod zwei Zentner schwer und och ene Meter achzig lang, met Scholdere wie 'ne Bär. Et danzden met dem Müller's Hein, dem kleene Plaatekopp zum vünfden Mol Lambada wie e Rennpäd em Jalopp und saat nur: Hein, ich stonn op dich, do sät hä nur dodrop: Schau mir in die Augen ... Su jing et durch die janze Naach bes morgens vröh um vier, um aach Uhr jov et Frühstück dann met Sekt und och met Bier. Als dann dä jroße Abschied kohm, d'r Bus noh Metternich, do saat d'r Hein, ach Herzilein, verjiss mich bitte nicht und bütz mich doch noch emol nur, denn Tränen lügen nicht. Schau mir in die Augen ..."
95,Toni Steingass,Hochdeutsch,Der schönste Platz ist immer an der Theke,1950,"Eins, zwei, drei, vier!
Wo ist denn nur, so fragt man oft euf dieser weiten Welt,
der wirklich allerschönste Platz, der jedem gur gefält.
Die Eine schwärmt für Natur, für'n Sportplatz der Andere nur.
Doch frage nur jeden Mann und ehrlich sagt er dir dann:



[Refrain:]
Der schönste Platz ist immer an der Theke.
Ja, an der Theke ist der schönste Platz !
Ich steh' so gerne dort, an diesem schönen Ort,
und keine Pferde ziehen dort so schnell mich fort.
Denn an der Theke, ja an der Theke,
nur an der Theke ist der allerschönste Platz !

Lass nur einmal dein ehemann 'ne Viertelstunde blos,
vor einem Kino wartend stehn, dann ist der Teufel los.
Doch Stundenlang steht der Schuft im Wirtshaus in qualmiger Luft.
Und wenn der Kopf ihm auch brummt, bis vor der Haustür' er summt:"
96,Jupp Schmitz,Hochdeutsch,Es ist noch Suppe da,1969,"Es ist noch Suppe da
es ist noch Suppe da!
Wer hat noch nicht wer will noch 'mal
wer hat noch
wer will noch 'mal.
Es ist noch Suppe da
es ist noch Suppe da!
Ich stifte eine Runde für den ganzen Saal!
Erbsensuppe ist ein Essen
das wohl jedem schmeckt.
Dreimal hoch noch heut' dem Manne
der sie hat entdeckt.
WERBUNG



BY VIDEO REACH

Einmal im Monat dann ladet der Verein
alle seine Freunde zur Erbsensuppe ein.
Neulich schmeckte sie besonders gut
ganz einfach toll;
doch der Wirt hatt' sich vertan
ein Kessel blieb noch voll
und so kam es
daß der Präsident mit einem Mal
ganz laut durch's Mikrophon rief in den Saal:
Es ist noch Suppe da
es ist noch Suppe da!
Wer hat noch nicht wer will noch 'mal
wer hat noch
wer will noch 'mal.
Es ist noch Suppe da
es ist noch Suppe da!
Ich stifte eine Runde für den ganzen Saal!
Sieben Teller setzte sich Herr Boldermann zum Ziel
doch beim sechsten streikte er
das war ihm schon zu viel.
Und zur Verdauung goß er noch obendrein
immer noch ein Gläschen vom edlen Brandewein.
Später ging er schwankend dann mit seiner Frau nach Haus
und er hatte das Gefühl
die Erbsen wollten raus
doch das ignorierte er und sang wie ein Tenor
der heißgeliebten Frau die Arie vor:
Es ist noch Suppe da ...
Es ist noch Suppe da ..."
97,Bläck Fööss,Kölsch,Am Bickendorfer Büdche,2006,"m Bickendorfer Büdche,
do käuf dä Jupp sing Brütche
beim Lisbeth en enem Tütche,
dat hät e lecker Schnütche.
Un ovends dann am Büdche
verzällt hä unsem Tütche
däm Lisbeth met däm Schnütche,
wie schön ihr Brütche wör.

Jeden Dach dräump dä Jupp
dovun, dat et hück flupp,
denn dä Jupp es zick Johre schon jeck
op dat Lisbeth.
Dat steiht, ov et ränt oder schneit,
en dem Büdche bei im op d‘r Eck.
Jedesmol, wenn hä arbeide jeiht,
hät dä Jupp jet, wodrop hä sich freut.
Un dann stellt hä sich vür:
Och, wie schön dat doch wör,
köm dat Lisbeth hück ovend zo mir.

Refrain: Am Bickendorfer Büdche .....

Jede Naach dräump dä Jupp
vun ener Woosch un ner Zupp,
vun nem Julasch met öntlich jet dren.
Suurbrode vum Pääd
un vun Himmel un Äd,
denn hä kann bal kein Brütche mih sin.
Wenn dat Lis dann em Draum vür im steiht
hä im endlich de Wohrheit ens sät:
Ob met Kies oder Fesch
bess du he eijentlich
noch et leckerste Brütche für mich.

Refr.: Am Bickendorfer Büdche ...

Lalalalala

Am Bickendorfer Büdche
Am Bickendorfer Büdche Do käuf dä Jupp sing Brütche
sing half verdrüschte Brütche ..
"
98,Höhner,Kölsch,"Blootwoosch, Kölsch un e lecker Mädche",1978,"Dä Pitter, dä wor eines Dachs plötzlich fott.
Erus us Kölle op nem urahle Pott.
Sing Mamm, die krät ald richtich dr Zidder,
doch dä Ühm meinte nur: ""Kein Angs, dä kütt widder""!

Refrain:
Blootwoosch, Kölsch un e lecker Mädche,
dat bruch ene Kölsche, öm jlöcklich zo sin.
Blootwoosch, Kölsch un e lecker Mädche,
dat fings do nur he, en Kölle am Rhing.



2.
Hück wor'e he, un morje ald do,
doch dann wod däm Pitter no Monate klor.
Im dät jet fähle, dat sat im sie Hätz,
do es hä janz flöck Richtung Kölle jewätz.

Refrain:
Blootwoosch, Kölsch un e lecker Mädche...

3.
Doheim en Kölle, wor et ehts, wat hä sat:
Jetz e Kölsch un en Flönz, ich han lang drop jewat.
Om Kirmes, dann hät hä jet kennejeliert.
Nächste Woch ald wed Huhzick gefiert.

Refrain:
Blootwoosch, Kölsch un e lecker Mädche..."
99,Paveier,Kölsch,"Beinah, Beinah",1993,"Dat Marleen hät dicke Brüstche
dat Marleen hät tolle Been
doch wenn ich em ens dran föhle
dann sät et immer nein
dat Marleen dat hät e Föttche
dat Marleen is stets jot drup
ich kann naachs nimmi schlofe
gän het ich se ens je...
Beinah beinah beinah
beinah hät ich se jebütz
äver leider kom der Rainer
un dä hät dat Ding jeritz
wat hät dä wat ich nit han
wat wills de bloß mit su nem Mann
Mädche loß mich nit so ston
Mädche loß de Käl doch jon
Dat Marie hät jet om Konto
dat Marie hät jet im Kopp
et lööt mich nit dran rüche
sät jank du beß beklopp

dat Marie hät schöne Auge
die Fijur is wirklich top
ich muß immer an et denke
jän het ich se ens je...
Beinah beinah beinah
beinah hät ich se jebütz
äver leider kom der Rainer
un dä hät dat Ding jeritz
wat hät dä wat ich nit han
wat wills de bloß mit su nem Mann
Mädche loß mich nit so ston
Mädche loß de Käl doch jon
Bin Fahrer bei der KVB
ming Mam meint ich wör janz OK
ich kann bal nimmi drüver laache
sach mann wat soll ich denn bloß maache
Beinah beinah beinah
beinah hät ich se jebütz
äver leider kom der Rainer
un dä hät dat Ding jeritz
wat hät dä wat ich nit han
wat wills de bloß mit su nem Mann
Mädche loß mich nit so ston
Mädche loß de Käl doch...
Doch dat Rita hät e Fötche
su wie e Sesterpäd
da kannste nix mie sage
wenn die de Schnüss upmät
dat Rita hät zwei Zentner
dat mät mich fas beklopp
et löt mich naachs nimmi schloofe
jän het se mich je...
Beinah beinah beinah
beinah hät se mich jebütz
sach wo bliev dann bloß der Rainer
dä dat Ding sons immer ritz
wat han ich wat dä nit hät
denn der Rainer dä is net
Mädche loß mich leever ston
Mädche loß mich endlich jon
wat han ich wat dä nit hät
denn der Rainer dä is net
Mädche loß mich leever ston
Mädche loß mich endlich jon"
100,Paveier,Hochdeutsch,Er war der weisseste Mann am Strand,2008,"Es war der weißeste Mann am Strand, oho.
Er wurd' von allen nur Schneemann genannt, oho.
Mallorca, Ibiza und auf Norderney,
war er bei den Damen nur der „Weiße Hai“.
Er kam aus Wanne-Eickel, wo der Mond nur lacht.
Im Süden angekommen, wurd' er plötzlich wach.
Nur braungebrannte Rambos, erbsengroßes Hirn.
Ferraris nur auf Leasing, vom feinsten war der Zwirn. Oho.
Zum Peetch am nächsten morgen, wollt er schon gar nicht geh'n.
Im weißen Sand kein Wunder, war er auch kaum zu seh'n.
Doch als er in die Wellen sprang, war Freude angesagt.
Wann hat sich schon ein Schneemann, mal ans Mittelmeer gewagt.
Refrain:



Es war der weißeste Mann am Strand, oho.
Er wurd' von allen nur Schneemann genannt, oho.
Mallorca, Ibiza und auf Norderney,
war er bei den Damen nur der „Weiße Hai“.
Beim Barbecue am Abend war's für ihn soweit.
Die Jungs war'n an der Hantel, für Liebe kein Zeit.
Er liebte Petra, Tina und auch Veronika,
Die Jungs nur ihren Body und Anabolika.
Zwei Wochen nur im Schatten, da war's auch nicht zu heiß.
Der neuste Trend, du glaubst es kaum, man trägt heut' wieder weiß.
Wa... wa... wa...
Mallorca, Ibiza und auf Norderney,
war er bei den Damen nur der „Weiße Hai“.
Es war der weißeste Mann am Strand, oho.
Er wurd' von allen so genannt, oho.
Es war der weißeste Mann am Strand, oho.
Er wurd' von allen so genannt, oho.
Es war der weißeste Mann am Strand, oho.
Er wurd' von allen nur Schneemann genannt, oho.
Es war der weißeste Mann am Strand, oho.
Er wurd' von allen nur Schneemann genannt, oho."
